formTitle,formNumber,appUrl
0839,22-0839,/school-administrators/submit-yellow-ribbon-program-agreement-form-22-0839
10-10CG,10-10CG,/family-and-caregiver-benefits/health-and-disability/comprehensive-assistance-for-family-caregivers/apply-form-10-10cg
10-10d Application for CHAMPVA benefits,10D,/family-and-caregiver-benefits/health-and-disability/champva/apply-form-10-10d
10-10d Extended,10D,/family-and-caregiver-benefits/health-and-disability/champva/apply-champva-form-10-10d
10-10EZR Update health benefits info form,10-10EZR,/my-health/update-benefits-information-form-10-10ezr
10-7959C CHAMPVA Other Health Insurance Certification form,10-7959C,/family-and-caregiver-benefits/health-and-disability/champva/submit-other-insurance-form-10-7959c
1010ez Health Care Application form,10-10EZ,/health-care/apply-for-health-care-form-10-10ez
10275,22-10275,/school-administrators/commit-principles-of-excellence-form-22-10275
10297,22-10297,/education/other-va-education-benefits/vet-tec-2/apply-for-program-form-22-10297
1330M Apply for a medallion in a private cemetery,1330M,/burials-memorials/memorial-items/headstones-markers-medallions/request-medallion-form-40-1330m
1330M2 Apply for a medallion in a private cemetery,1330M2,/burials-memorials/memorial-items/headstones-markers-medallions-approver/request-medallion-form-40-1330m2
21-0538 Dependents verification,21-0538,/manage-dependents/verify-dependents-form-21-0538
21-0779 Nursing Home Information,21-0779,/supporting-forms-for-claims/submit-nursing-home-information-form-21-0779
21-2680 House Bound Status,21-2680,/pension/aid-attendance-housebound/apply-form-21-2680
21-4192 Employment Information,21-4192,/disability/eligibility/special-claims/unemployability/submit-employment-information-form-21-4192
21-527EZ pension benefits form,21-527EZ,/pension/apply-for-veteran-pension-form-21p-527ez
21a Apply to become a VA-accredited attorney or claims agent,21A,/representative/accreditation/attorney-claims-agent-form-21a
21P-0969 Income and Asset Statement Form,21P-0969,/supporting-forms-for-claims/submit-income-and-asset-statement-form-21p-0969
21P-530a Interment Allowance,21P,/submit-state-interment-allowance-form-21p-530a
22-0803 Request for reimbursement of licensing or certification test fees,22-0803,/forms/22-0803/request-reimbursement-licensing-or-certification-test-fees-online
22-0994 Education benefits form,22-0994,/education/about-gi-bill-benefits/how-to-use-benefits/vettec-high-tech-program/apply-for-vettec-form-22-0994
22-10203 Education benefits form,22-10203,/education/other-va-education-benefits/stem-scholarship/apply-for-scholarship-form-22-10203
22-10215 Statement of Assurance of Compliance with 95 Percent Enrollment Ratios,22-10215,/school-administrators/85-15-rule-enrollment-ratio
22-10272 Application for reimbursement of preparatory (prep) course for licensing or certification test,22-10272,/forms/22-10272/request-prep-course-reimbursement-online
22-10282 IBM Skillsbuild Training Program Intake Application,22-10282,/education/other-va-education-benefits/ibm-skillsbuild-program/apply-form-22-10282
22-1995 Education benefits form,22-1995,/education/apply-for-education-benefits/application/1995
26-4555 Application in Acquiring Specially Adapted Housing or Special Home Adaptation Grant,26-4555,/housing-assistance/disability-housing-grants/apply-for-grant-form-26-4555
28-1900 Veteran Readiness,28-1900,/careers-employment/vocational-rehabilitation/apply-vre-form-28-1900
35% exemption of the routine reporting,,/school-administrators/35-percent-exemption
40-10007 pre need burial planning form,40-10007,/burials-and-memorials/pre-need/form-10007-apply-for-eligibility
686C-674-v2,686C-674,/manage-dependents/add-remove-form-21-686c-674
Application for Accrued Amounts Due a Deceased Beneficiary,21P-601,/family-and-caregiver-benefits/survivor-compensation/apply-for-accrued-benefits-form-21p-601
Apply for additional compensation based on inability to work,21-8940,/disability/eligibility/special-claims/unemployability/apply-unemployability-compensation-form-21-8940
Apply for burial in a VA national cemetery,,/burials-and-memorials/time-of-need
Apply for Certificate of Eligibility,26-1880,/housing-assistance/home-loans/request-coe-form-26-1880
"Apply For DIC, Survivors Pension, Or Accrued Benefits Online",21P-534EZ,/family-and-caregiver-benefits/survivor-compensation/apply-for-dic-survivors-pension-accrued-benefits-form-21p-534ez
Apply for Personalized Career Planning and Guidance with VA Form 25-8832,25-8832,/careers-employment/education-and-career-counseling/apply-career-guidance-form-25-8832
Apply for Specially Adapted Housing Grant,,/specially-adapted-housing-grant
Apply to use transferred education benefits,22-1990E,/family-and-caregiver-benefits/education-and-careers/transferred-gi-bill-benefits/apply-form-22-1990e
Ask VA,,/contact-us/ask-va
Authenticated Experience Design Patterns,,/mock-form-ae-design-patterns
Authorize the release of non-VA medical information to VA,21-4142,/supporting-forms-for-claims/release-information-to-va-form-21-4142
Authorize VA to Disclose Personal Information to a Third Party for Education Benefits,22-10278,/education/disclose-information-to-third-party/authorize-disclosure-form-22-10278
Authorize VA to release your information to a third-party source,21-0845,/supporting-forms-for-claims/third-party-authorization-form-21-0845
Conflicting Interests Certification For Proprietary Schools,,/school-administrators/report-conflicting-interests
Contact Us,,/ask-a-question
Designation Of Certifying Official(S),,/school-administrators/update-certifying-officials
Discover Your Benefits,,/discover-your-benefits
Dispute your VA debt,,/manage-va-debt/dispute-debt
File a CHAMPVA claim,10-7959A,/family-and-caregiver-benefits/health-and-disability/champva/file-champva-claim-10-7959a
File a Supplemental Claim,20-0995,/decision-reviews/supplemental-claim/file-supplemental-claim-form-20-0995
Fill out your form to appoint a VA accredited representative or VSO,,/get-help-from-accredited-representative/appoint-rep
Financial Status Report,5655,/manage-va-debt/request-debt-help-form-5655
Foreign Medical Program Cover Sheet,10-7959F,/health-care/file-foreign-medical-program-claim/file-claim-form-10-7959f-2
Form Upload,,/forms/upload
Fry/DEA — VA Education Benefits For Survivors And Dependents,,/fry-dea
GI Bill School Feedback Tool,,/education/submit-school-feedback
Marital Status Questionnaire (21P-0537),21P-0537,/family-and-caregiver-benefits/survivor-compensation/dependency-indemnity-compensation/verify-marital-status-21p-0537
My Education Benefits,22-1990,/education/apply-for-gi-bill-form-22-1990
Order hearing aid or CPAP supplies,,/health-care/order-hearing-aid-or-CPAP-supplies-form
Order medical supplies,,/my-health/order-medical-supplies
Personalized Career Planning and Guidance/Chapter 36 (VA Form 27-8832),27-8832,/temporary/apply-career-guidance-form-27-8832
Program Apporval in a Foreign Country (VA Form 22-0976),22-0976,/education/0976
Register for the Foreign Medical Program (FMP),10-7959F,/health-care/foreign-medical-program/register-form-10-7959f-1
Request a Board Appeal,10182,/decision-reviews/board-appeal/request-board-appeal-form-10182
Request a Presidential Memorial Certificate,40-0247,/burials-memorials/memorial-items/presidential-memorial-certificates/request-certificate-form-40-0247
Request for Higher-Level Review,20-0996,/decision-reviews/higher-level-review/request-higher-level-review-form-20-0996
Request personal records,20-10206,/records/request-personal-records-form-20-10206
Request priority processing for an existing claim,20-10207,/supporting-forms-for-claims/request-priority-processing-form-20-10207
Request to be a substitute claimant for a deceased claimant,21P-0847,/supporting-forms-for-claims/substitute-claimant-form-21P-0847
Sign VA claim forms as an alternate signer,21-0972,/supporting-forms-for-claims/alternate-signer-form-21-0972
Simple Forms Patterns,,/mock-simple-forms-patterns
Submit a lay or witness statement to support a VA claim,21-10210,/supporting-forms-for-claims/lay-witness-statement-form-21-10210
Submit a statement to support a claim,21-4138,/supporting-forms-for-claims/submit-statement-form-21-4138
Submit an intent to file,21-0966,/supporting-forms-for-claims/intent-to-file-form-21-0966
Submit Employment Questionnaire,21-4140,/disability/verify-individual-unemployability-status/submit-employment-questionnaire-form-21-4140
Submit Medical Expenses To Support A Pension or DIC Claim,21P-8416,/supporting-forms-for-claims/submit-medical-expense-report-form-21p-8416
Survivor and Dependent Benefits 22-5490,22-5490,/family-and-caregiver-benefits/education-and-careers/apply-for-dea-fry-form-22-5490
Welcome VA Setup Review Information Form,,/my-va/welcome-va-setup
